repo	default_branch	workflow_file	lanes_dispatch	velnor_actions_reuse	notes
jackin-project/jackin	main	cache-cleanup.yml	9:      lanes:;	none	-
jackin-project/jackin	main	ci.yml	24:      lanes:;	102:    uses: jackin-project/velnor-actions/.github/workflows/ci-native.yml@eeb8a182174f3c97c370ecf3f1e3e4689ae22cfe # 2026.8.31;124:    uses: tailrocks/velnor-actions/.github/workflows/ci-native.yml@84a3d2c5f8f74a3054259ac494581b244bf61ee7 # 2026.8.31;146:    uses: ChainArgos/velnor-actions/.github/workflows/ci-native.yml@4561d3dc3a410980b8a3858d42b88a34c5e757f4 # 2026.8.31;	-
jackin-project/jackin	main	construct-public-unmerged.yml	8:      lanes:;	none	-
jackin-project/jackin	main	construct.yml	8:      lanes:;	none	-
jackin-project/jackin	main	desktop-cadence.yml	20:      lanes:;	none	-
jackin-project/jackin	main	docs-public-unmerged.yml	10:      lanes:;	none	-
jackin-project/jackin	main	docs.yml	11:      lanes:;	none	-
jackin-project/jackin	main	hygiene.yml	11:      lanes:;	none	-
jackin-project/jackin	main	jackin-dev-public-unmerged.yml	18:      lanes:;	none	-
jackin-project/jackin	main	jackin-dev.yml	13:      lanes:;	none	-
jackin-project/jackin	main	preview.yml	11:      lanes:;	none	-
jackin-project/jackin	main	release.yml	21:      lanes:;	775:    uses: jackin-project/velnor-actions/.github/workflows/package-signer.yml@643c5341b160be151a7fae19b89b6a4f8ab3b275 # 2026.8.6;	-
jackin-project/jackin	main	renovate-validate-public-unmerged.yml	26:      lanes:;	none	-
jackin-project/jackin	main	renovate-validate.yml	26:      lanes:;	none	-
jackin-project/jackin	main	renovate.yml	11:      lanes:;	none	-
jackin-project/jackin	main	reuse-compliance-public-unmerged.yml	8:      lanes:;	none	-
jackin-project/jackin	main	reuse-compliance.yml	9:      lanes:;	none	-
jackin-project/jackin	main	rust-nextest.yml	none	none	-
jackin-project/jackin-the-architect	main	ci.yml	24:      lanes:;	102:    uses: jackin-project/velnor-actions/.github/workflows/ci-code.yml@6669eac8693ec14957d2f55ae3b67756d1184e77 # 2026.8.30;124:    uses: tailrocks/velnor-actions/.github/workflows/ci-code.yml@77d323dcfdb176b332edc24bfc92cb625b3ab4c8 # 2026.8.30;146:    uses: ChainArgos/velnor-actions/.github/workflows/ci-code.yml@36d568abb89b4f53aa828fe1740fbb3411ffcb87 # 2026.8.30;	-
jackin-project/jackin-the-architect	main	gitleaks-history.yml	11:      lanes:;	none	-
jackin-project/jackin-the-architect	main	jackin-toolchain.yml	11:      lanes:;	none	-
