repository	default_branch	default_sha	config_entries	config_blob_oid	schema	generator_revision	key_config_observation
tailrocks/velnor	main	abe9ad82a2d4d01b706bbc6122ab6ccb150faad9	sources,velnor-workflow.toml	e32e18e81fa7eedac49d43459b7becb7f12ff775	2	fdeed261bd2247a38db6922a7726cd45d3d6f31e	providers=github-hosted,velnor;automatic=github-hosted,velnor;dispatch=github-hosted,velnor;profile=rust-workspace-release;release=velnor-runner
tailrocks/velnor-apt	main	b24d7d4370001119cd5ddcb6f9e07aa9007051e7	FEED_COVERAGE.md,velnor-workflow.toml	672dd0c4644557150e300b6abb6806d68ff9c9a8	1	fdeed261bd2247a38db6922a7726cd45d3d6f31e	profile=apt-repository;release=apt;package=velnor-runner
tailrocks/parallax	main	6a12bf47a816b63e848b563aaa45ef9694159c79	velnor-workflow.toml	249207cd100b836947606cb2c8537ee4e15b85fc	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; provider/release fields not in selected key lines
tailrocks/tracing-request-level	main	f234158eb3d5caddda83b19e527ffb7d0f675a23	velnor-workflow.toml	5a6002a95175a9695ca0f53614b8132475b99815	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; provider/release fields not in selected key lines
tailrocks/termrock	main	936982e60bce6d19cf33ae09b53545a955f1073d	NO_WORKFLOWS_REQUIRED.md,velnor-workflow.toml	b2dca3217b787bd8fc7fa194900f7d1a38f1264d	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	NO_WORKFLOWS_REQUIRED marker present
tailrocks/termpane	main	7602430f18852350cc3155e58bb96799234cbfe5	velnor-workflow.toml	b0d50b12d1bea8d15475a557e82d91c8372cee89	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; provider/release fields not in selected key lines
tailrocks/tablerock	main	e2fe040c9d9cbf0eb3994d8b6cdffd0a772de6fc	velnor-workflow.toml	03c351f4b28a07c2766c2afc23d5db6dc6056421	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; provider/release fields not in selected key lines
tailrocks/schemalane	main	ab49e2dd910ee41e96daea97ad6998f7961e5cfc	velnor-workflow.toml	10426736f43928d20b8aae9112dc4b55c9b5d266	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; provider/release fields not in selected key lines
tailrocks/ruxel	main	3d34049820a6d4ce3707e574f407cbf4047ff932	velnor-workflow.toml	ea7a4c1479c7200babb6e5d89a9c8843aef5b82b	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; provider/release fields not in selected key lines
tailrocks/pg-bigdecimal	main	7dc5267d855801dbffb54aa12fc87791aa000a93	velnor-workflow.toml	63275b66c2f65df6040a11a533f46cb0fb95b0ac	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; provider/release fields not in selected key lines
tailrocks/parallax-telemetry-playground	main	54d09bf71181dcfc72d6829fabec3c53f55aacf9	velnor-workflow.toml	5fe937e02454446e1460362f51af5e2963d8e422	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; polyglot/native workflow output present
tailrocks/homebrew-tablerock	main	7d376cad41088420e92e49bf4030d761180a3512	velnor-workflow.toml	d144051a34054b882a2549b8b82e47f130e08f22	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; Homebrew workflow output present
tailrocks/homebrew-ruxel	main	ce29c817d29c54563bc479bce3966e4ea32845e6	velnor-workflow.toml	5c5c6a476490141c4ce0ad173400713f7272dcc7	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; Homebrew workflow output present
tailrocks/homebrew-parallax	main	c9c59277f35cb1e81988c2bef0be2c688dadd608	velnor-workflow.toml	c34f6d8f12c6eb6f78a90f1258e71570f8ba43f4	1	b9c3156cdb88e63c11b9e595a3e694b02238c09a	config present; Homebrew workflow output present
