observed_at	repository	default_branch	default_sha
2026-09-19T17:05:57Z	tailrocks/velnor	main	abe9ad82a2d4d01b706bbc6122ab6ccb150faad9
2026-09-19T17:05:57Z	tailrocks/velnor-apt	main	b24d7d4370001119cd5ddcb6f9e07aa9007051e7
2026-09-19T17:05:57Z	tailrocks/parallax	main	6a12bf47a816b63e848b563aaa45ef9694159c79
2026-09-19T17:05:57Z	tailrocks/tracing-request-level	main	f234158eb3d5caddda83b19e527ffb7d0f675a23
2026-09-19T17:05:57Z	tailrocks/termrock	main	936982e60bce6d19cf33ae09b53545a955f1073d
2026-09-19T17:05:57Z	tailrocks/termpane	main	7602430f18852350cc3155e58bb96799234cbfe5
2026-09-19T17:05:57Z	tailrocks/tablerock	main	e2fe040c9d9cbf0eb3994d8b6cdffd0a772de6fc
2026-09-19T17:05:57Z	tailrocks/schemalane	main	ab49e2dd910ee41e96daea97ad6998f7961e5cfc
2026-09-19T17:05:57Z	tailrocks/ruxel	main	3d34049820a6d4ce3707e574f407cbf4047ff932
2026-09-19T17:05:57Z	tailrocks/pg-bigdecimal	main	7dc5267d855801dbffb54aa12fc87791aa000a93
2026-09-19T17:05:57Z	tailrocks/parallax-telemetry-playground	main	54d09bf71181dcfc72d6829fabec3c53f55aacf9
2026-09-19T17:05:57Z	tailrocks/homebrew-tablerock	main	7d376cad41088420e92e49bf4030d761180a3512
2026-09-19T17:05:57Z	tailrocks/homebrew-ruxel	main	ce29c817d29c54563bc479bce3966e4ea32845e6
2026-09-19T17:05:57Z	tailrocks/homebrew-parallax	main	c9c59277f35cb1e81988c2bef0be2c688dadd608
2026-09-19T17:05:57Z	tailrocks/homebrew-holla	main	cc25db8fd911cdf965652d3b094c10d006d056ee
2026-09-19T17:05:57Z	tailrocks/holla-apt	main	0636074d4a16be4771685bd95bf2cec739cf359c
2026-09-19T17:05:57Z	tailrocks/holla	main	027dac6be2070b7e836c1ca123861fcbade72003
2026-09-19T17:05:57Z	tailrocks/homebrew-velnor	main	7af1249f3d69c9f2e548583cdc9f3e737da41b81
2026-09-19T17:05:57Z	tailrocks/tailrocks-typescript-skills	main	f434715f7c664af431f0be62982aa379400102de
2026-09-19T17:05:57Z	tailrocks/tailrocks-skill-authoring-skills	main	9e25890fd63f7ca6c587490ba7cc432f5fdd98d6
2026-09-19T17:05:57Z	tailrocks/tailrocks-rust-skills	main	bcc31b1d935dac4de191a6b71b3091f628d204c0
2026-09-19T17:05:57Z	tailrocks/tailrocks-roadmap-skills	main	66d9c79f6472ddace0e265335dc8dd36cdeb8a86
2026-09-19T17:05:57Z	tailrocks/tailrocks-pull-request-skills	main	2b4f71f49fd27061e64d16b2b7f83d9bd2df5612
2026-09-19T17:05:57Z	tailrocks/tailrocks-open-source-skills	main	6e77a448f9776e837bfc9ab18b833bd5fdc26d3a
2026-09-19T17:05:57Z	tailrocks/tailrocks-macos-skills	main	1fb177a9a4dc16120b4bc7ca9c0eb4e68f9119d2
2026-09-19T17:05:57Z	tailrocks/tailrocks-code-quality-skills	main	0b9a1eaa83ca2ad9b2c895741648e7cde10f6189
2026-09-19T17:05:57Z	jackin-project/jackin	main	665f7e3735c1f76ce5ee8a9e27c676381a474cfb
2026-09-19T17:05:57Z	jackin-project/jackin-agent-smith	main	08cb1c2f82519bab1aa0c164879955a84d35463b
2026-09-19T17:05:57Z	jackin-project/homebrew-tap	main	2281ae9c95dfcb5bf82dfd025fdf58a50658b1d1
2026-09-19T17:05:57Z	jackin-project/jackin-the-architect	main	d0956f0192d2605cbd26d84bf8911211a727b6c0
2026-09-19T17:05:57Z	jackin-project/jackin-sentinel	main	a668b869b9a31622f3088c1d891c45716e94cff2
2026-09-19T17:05:57Z	jackin-project/jackin-role-action	main	8882236041e149153491ada7091382e76be1c313
