destination	source	bytes	sha256
evidence/github-first-dual-lane/updates/20260919T182822Z/checkpoint.json	generated:checkpoint.json	2842	0684bafbfa90f38c4f4e096d99184ee4c05029368e7f8b699a83be3a8396a484
evidence/github-first-dual-lane/updates/20260919T182822Z/checkpoint.md	generated:checkpoint.md	1955	53a3a0f8d85483560d5101d77dd04e0a55222d24e6a65cda6da2c994b801ca09
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/checker-v2-handoff.md	dual-lane-evidence/G0/checker-v2-handoff.md	18371	65b50a6a7344d9f0ee7520e6586e339279dde39d8ed49eed680182ac836e140a
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution-review/homebrew-c772971-review.md	dual-lane-evidence/G0/distribution-review/homebrew-c772971-review.md	7703	7379ecfa1c7566bd52ee4b445282fe59ba1236e08f5451979eb72f2f63eb23d2
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/ambiguous-version.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/ambiguous-version.stderr	144	843803964688ea8c5ee2a3300879c43ed3fcffb1ae1ddf03c7cddfe11dc81d52
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/asset-url-missing.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/asset-url-missing.stderr	96	da8c228a0361cb2bedb5b60c33269baab1ee2985e4cdbff198952770fc77e378
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/baseline.json	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/baseline.json	5473	ecfebb24304fe19298952c073bf77cdcec11ccfd13e4e11aec3cbffb75ee4178
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/baseline.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/baseline.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/binary-name-drift.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/binary-name-drift.stderr	96	da8c228a0361cb2bedb5b60c33269baab1ee2985e4cdbff198952770fc77e378
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/homebrew-digest-tamper.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/homebrew-digest-tamper.stderr	96	da8c228a0361cb2bedb5b60c33269baab1ee2985e4cdbff198952770fc77e378
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/release-id-grammar.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/release-id-grammar.stderr	96	da8c228a0361cb2bedb5b60c33269baab1ee2985e4cdbff198952770fc77e378
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/release-manifest-assets-tamper.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/release-manifest-assets-tamper.stderr	96	da8c228a0361cb2bedb5b60c33269baab1ee2985e4cdbff198952770fc77e378
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/release-record-census.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/release-record-census.stderr	96	da8c228a0361cb2bedb5b60c33269baab1ee2985e4cdbff198952770fc77e378
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/results.tsv	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/results.tsv	407	deed951c010b05f3f5ee3bb08efceeb50764e37c8ec94f2475364985ce895a18
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/sha256-sums-tamper.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/sha256-sums-tamper.stderr	96	da8c228a0361cb2bedb5b60c33269baab1ee2985e4cdbff198952770fc77e378
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial-v2/source-ref-mismatch.stderr	dual-lane-evidence/G0/distribution/apt-discovery-adversarial-v2/source-ref-mismatch.stderr	96	da8c228a0361cb2bedb5b60c33269baab1ee2985e4cdbff198952770fc77e378
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-adversarial.sh	dual-lane-evidence/G0/distribution/apt-discovery-adversarial.sh	10410	f13561159d7573f4cb7f95a903d3c9da7edb0ad41c8c229f1e9195cd611d9fdb
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab.md	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab.md	5862	c726411fed33ea4bc4806d4dbc2a72ba6e5c0a6688a481d1f8078d65b4e67d4a
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab/html-url-tamper/release.json	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab/html-url-tamper/release.json	3052	f494eef49a93d1a3f5e3f0e4879810c976bba9e63492f5b6b1f3596eed9ea5f0
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab/html-url-tamper/releases.json	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab/html-url-tamper/releases.json	3246	7a7a237fb194189081e9ecb10d60db7c9d3d6041138d7680a21083e08ac4be1d
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab/package-crate-tamper/release.json	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab/package-crate-tamper/release.json	3079	5cf788bd679065b71657ee7bbf4d86c843325bd65582d6c9a9d7faccb8423af6
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab/package-crate-tamper/releases.json	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab/package-crate-tamper/releases.json	2445	383f9fb91aa6e318bc47a16f97f2a41c8fb63f5eda01b5d8ba9cff9a781059a4
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab/package-identity-tamper/release.json	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab/package-identity-tamper/release.json	3079	5cf788bd679065b71657ee7bbf4d86c843325bd65582d6c9a9d7faccb8423af6
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab/package-identity-tamper/releases.json	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab/package-identity-tamper/releases.json	2445	383f9fb91aa6e318bc47a16f97f2a41c8fb63f5eda01b5d8ba9cff9a781059a4
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab/package-version-tamper/release.json	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab/package-version-tamper/release.json	3079	5cf788bd679065b71657ee7bbf4d86c843325bd65582d6c9a9d7faccb8423af6
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review-exact-8c19fab/package-version-tamper/releases.json	dual-lane-evidence/G0/distribution/apt-discovery-review-exact-8c19fab/package-version-tamper/releases.json	2445	383f9fb91aa6e318bc47a16f97f2a41c8fb63f5eda01b5d8ba9cff9a781059a4
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery-review.md	dual-lane-evidence/G0/distribution/apt-discovery-review.md	9843	69397c592e51cd499cdd06d20e18b90d702444981a25e4b6a4e2f3f3442d2714
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/distribution/apt-discovery.md	dual-lane-evidence/G0/distribution/apt-discovery.md	16372	015d1cf32022dd4de5e318d828616a081c3e17a668d6a350fd56897a18fcf8eb
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/homebrew-review/remediation.md	dual-lane-evidence/G0/homebrew-review/remediation.md	2998	02831e728f8eeae04e6d6931d84654c42e306de4f9b0a2ab35db364a4f5cbfa5
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/native-review/native-scanner-746745c5-review.md	dual-lane-evidence/G0/native-review/native-scanner-746745c5-review.md	4150	47fb431ec66ce3f3d19b63ca9458dd568b2fee39366418e1705cd954805ad36f
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/rust-scan-review/final.md	dual-lane-evidence/G0/rust-scan-review/final.md	3681	91eb7ef271e97ca0aceba457597596f2782e4d221bc0a2270bb96aa574da71d3
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/skills-adapter/baseline-closure.md	dual-lane-evidence/G0/skills-adapter/baseline-closure.md	1045	00230e444a9e27bb3ecca4c6a6893cb0c57cc696b2945b91d07d80361b5be823
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/skills-adapter/implementation.md	dual-lane-evidence/G0/skills-adapter/implementation.md	3114	04e8fa71909300f27ccef5e945e93928c7cf27c8071b28ee66ef6e6e82d74e32
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/skills-review/final.md	dual-lane-evidence/G0/skills-review/final.md	8033	b8b01b2b1ad62dee844a07bdd467428d9c76e457ec6b0e450e21be28ce7e7574
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G0/skills-review/remediation-contract.md	dual-lane-evidence/G0/skills-review/remediation-contract.md	12589	a2b0045bc5550b670aa0780f39678457e73d783c88a75fa100178bdf31411b30
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G1/bootstrap/isolation-review-requirements.md	dual-lane-evidence/G1/bootstrap/isolation-review-requirements.md	11336	037559a88598f1ca5be04ce4769d521588c734006db11f646bf6a254f4d1fdbe
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G1/bootstrap/legacy-map.md	dual-lane-evidence/G1/bootstrap/legacy-map.md	14753	fd7fe9e8c9759a0d67c511cd4678e42875dfa8b6b13d1d829549f15f3b3a039c
evidence/github-first-dual-lane/updates/20260919T182822Z/reports/G2/preview-publication/result.md	dual-lane-evidence/G2/preview-publication/result.md	1053	f808dc14c8c39fbd24d4174cb09a2c5c44d64055d19d0aa6b8227bafdc2cfd4e
